reference	length	mapped_reads
CP009257.1	4335793	1722
AE016877.1	5411809	5520
CP000139.1	5163189	2271
CP017623.1	3188341	737
CP010086.2	6485394	5328
NC_001263.1	2648638	1899
NC_004668.1	3218031	1328
NC_000913.3	4641652	2470
NC_000915.1	1667867	975
NC_008530.1	1894360	1490
NC_003210.1	2944528	4896
NC_009515.1	1853160	3124
NC_003112.2	2272360	803
NC_006085.1	2560265	2268
NC_002516.2	6264404	1569
NC_007493.2	3188524	5465
NC_007795.1	2821361	492
NC_004461.1	2499279	5192
NC_004116.1	2160267	486
NC_004350.2	2032925	821
NC_003098.1	2038615	1143
